Time,Transaction_Amount_Ratio,Transaction_Frequency,Merchant_Risk_Score,Customer_Risk_Score,Account_Age_Months,Device_Trust_Score,Location_Risk_Score,Transaction_Velocity,Cardholder_Behavior_Score,Fraud_Risk_Index,Amount,Class
34150,4.72,-2.836,0.816,1.28,-2.039,-4.699,2.326,-2.968,-1.064,-3.567,156.35,0
154731,-3.437,4.056,3.562,-0.416,4.538,-3.379,-1.888,4.28,-3.509,0.902,1395.65,0
159010,-3.008,-0.53,1.38,-3.969,1.988,1.416,2.916,2.402,-3.784,-3.165,2312.66,0
123607,0.492,1.601,1.827,-0.597,-3.167,0.01,-3.832,-2.791,3.919,-1.424,4369.4,0
16181,0.075,-3.822,4.348,4.412,1.042,3.359,-0.043,-3.484,2.398,-1.688,3753.79,0
21741,-1.444,error,-2.199,-1.772,2.664,4.468,-3.451,-2.627,1.052,2.547,3133.1,0
120670,4.872,0.942,-2.377,-4.005,-3.089,1.104,-0.312,-4.473,-3.883,0.925,2412.18,0
138343,0.106,-3.628,4.538,4.089,-1.437,-1.437,-2.395,-3.7,-4.046,-0.242,1807.77,0
156016,,1.053,4.074,3.011,-1.231,2.267,1.758,-4.057,3.256,-3.13,252.72,1
163421,-0.465,-4.036,-2.341,0.976,0.144,-1.046,4.49,4.025,-0.247,-1.146,4869.66,0
63793,-2.14,-0.61,3.125,-0.214,0.296,-2.947,4.655,4.362,-3.682,4.553,519.33,0
66394,0.597,4.244,2.311,2.451,-0.833,1.512,-0.086,-3.993,-1.172,3.65,217.04,0
63871,-0.051,-1.659,2.242,-4.079,-1.131,-0.341,3.484,4.985,2.721,-2.349,4862.46,0
141148,-2.305,3.252,4.047,1.196,-1.821,-0.415,2.117,2.567,2.066,-0.967,3899.94,0
148922,-4.542,-3.274,-2.104,-0.101,-1.939,4.892,-3.692,-4.389,0.054,4.754,212.39,0
33798,0.538,-2.21,1.711,4.979,0.03,2.161,-1.397,-0.552,-4.82,4.706,143.8,0
101045,0.726,-0.204,-2.402,1.31,4.148,0.813,-0.335,-0.576,-4.837,-0.512,4842.99,0
123402,2.17,1.306,0.447,-2.059,3.449,-2.385,2.144,3.007,0.216,1.623,3196.87,0
10546,-3.108,-0.321,-0.931,-3.023,4.62,2.58,-0.02,-0.101,-3.656,-1.422,1113.42,0
37131,4.225,2.879,3.963,-3.936,-3.568,2.969,2.472,-3.884,4.976,1.558,4357.74,1
166746,-4.807,-2.866,-1.056,-4.639,3.475,-1.341,-3.357,0.126,2.112,1.551,3001.34,0
74730,3.628,2.633,0.129,-3.607,4.622,4.512,-0.704,4.704,-0.187,3.718,4218.88,0
125080,-4.766,3.931,1.32,4.456,-0.934,-2.888,-3.337,-1.109,-1.055,-0.637,1068.93,0
11341,-4.641,-1.887,-4.853,3.243,2.635,1.498,-3.783,2.362,0.436,-1.737,4841.62,0
38608,2.579,-3.544,3.598,4.902,4.269,-2.03,4.573,-1.021,2.136,-3.642,1955.99,0
154800,0.47,-3.491,1.05,2.252,0.474,0.362,-4.044,-1.494,-1,-3.477,2622.11,0
86850,1.996,-2.886,0.618,2.027,1.015,4.175,-0.634,1.849,-3.516,-4.714,4634.19,0
103942,1.761,-1.097,0.027,-3.347,-2.395,-3.344,0.295,2.464,1.235,-2.049,173.49,0
28246,-1.791,4.928,3.817,0.824,-2.616,-3.507,4.378,0.363,-3.642,3.814,4869.94,0
72123,2.151,2.641,1.436,2.995,1.855,3.254,0.362,3.249,0.401,2.206,2192.81,0
70249,-4.464,2.303,-1.213,0.18,-0.358,3.641,-2.918,0.998,-3.889,-0.492,3497.27,0
54759,-4.968,2.634,-4.695,-3.664,-2.862,4.906,-4.869,-1.23,-1.759,-0.742,1201.78,0
48227,1.244,-2.106,-2.275,3.636,2.993,-0.038,-0.524,-3.08,-1.805,-2.157,1244.02,0
91760,1.717,-1.777,-0.812,3.174,-4.338,2.766,0.897,-3.505,-0.773,-4.475,2408.05,0
127060,1.281,0.34,3.424,4.945,1.724,4.947,3.833,4.463,2.436,-0.937,?,1
102522,-0.65,-3.858,-2.793,3.213,-0.057,1.176,-3.182,-2.599,-0.257,4.151,2432.18,0
85150,-1.729,-0.191,-3.955,1.894,4.111,-3.059,-3.113,-1.754,3.512,1.371,1408.21,1
145628,-2.51,-0.015,-3.342,-2.038,-1.956,-2.241,0.983,4.717,2.861,4.409,3184.35,0
126534,,-0.884,0.534,-0.769,-1.47,-0.092,-4.604,2.478,2.297,0.478,131.53,0
71876,0.653,-2.481,4.99,3.954,3.915,0.834,4.487,-1.089,-4.308,-1.067,796.06,0
15763,-2.779,-3.874,-0.661,-3.463,3.228,0.358,-4.952,-0.527,-4.419,-2.78,3221.56,0
57642,2.24,3.882,3.593,1.872,-4.436,1.317,-3.439,-4.451,-3.142,3.015,4644.08,0
29347,-3.622,-3.967,-4.403,-4.5,-0.82,4.181,0.016,-1.342,4.251,0.25,3125.26,0
82202,1.55,-1.763,0.139,1.431,0.734,-0.862,4.595,-4.966,-3.418,2.356,1419.7,0
171124,-3.274,error,3.483,4.894,3.33,4.046,1.159,-1.041,-3.923,-2.936,223.91,0
43019,-0.735,-3.627,2.626,-0.548,0.128,-3.457,-1.575,-3.975,0.09,2.449,4124.12,0
57546,-1.819,-4.786,1.034,-1.893,-2.397,-4.998,-1.649,0.921,3.865,2.978,3463.68,0
53839,3.2,3.114,3.058,-1.373,4.519,-0.166,1.54,-2.424,-4.629,0.996,158.27,0
45577,-1.585,0.087,-2.486,4.955,-2.893,-1.966,-0.362,-1.931,2.285,-4.374,2713.95,0
47312,1.876,4.171,-0.1,-4.848,-3.705,3.424,-4.95,-2.247,-4.267,-1.692,1255.84,0
169671,3.801,-1.727,-0.061,1.722,4.676,-2.93,-2.021,2.903,-2.205,2.714,225.16,0
127211,2.209,-1.882,0.665,-0.91,-2.983,1.941,1.126,-0.544,3.292,3.559,1811.95,0
74141,4.225,-3.235,-0.884,-2.326,3.224,-0.392,3.496,2.5,-1.437,-0.244,4665.98,0
113707,3.094,0.427,3.131,-4.494,-0.82,2.881,3.747,4.745,-3.822,-3.435,4346.11,0
50245,0.031,4.368,-1.17,0.433,-0.848,2.491,2.162,-2.052,4.691,4.275,2309.9,0
102706,2.776,-4.047,2.655,-2.062,-4.03,-3.292,2.842,2.424,4.424,-3.148,3645.75,0
13498,-2.464,0.29,2.515,2.298,0.337,-0.323,3.103,3.494,2.99,-2.844,432.64,0
132948,-2.581,4.081,-2.145,-1.042,2.407,-3.412,3.777,0.554,-4.816,-2.039,1861.13,0
18476,-2.195,-3.841,4.354,4.217,4.093,-2.224,3.199,-4.671,-2.93,-0.656,994.71,0
115279,-3.54,-2.406,1.788,-3.251,-0.306,0.164,1.142,3.269,3.425,3.893,1862.08,0
158630,-1.126,3.956,-0.3,-0.131,-3.436,-3.86,-4.02,-1.972,2.992,0.285,625.92,0
113876,-1.357,3.067,-3.889,-2.28,1.941,1.263,-4.096,0.756,-1.803,-2.129,1808.3,0
56579,-2.414,1.565,1.078,-3.219,0.925,2.493,1.929,-4.495,2.571,-2.147,3292.13,0
85413,-4.656,-3.357,2.654,-3.441,-2.435,1.616,-2.863,-3.368,0.328,-0.523,2840.91,0
171927,3.058,3.867,-3.067,-2.422,2.991,1.137,1.009,-0.488,2.534,3.038,2428.81,0
166710,-3.282,1.673,0.905,4.515,1.463,-1.09,-3.013,-2.963,-1.393,4.955,2888.47,0
77472,-3.577,3.973,-3.396,2.819,0.524,1.771,-2.314,4.832,2.692,4.789,3326.67,0
93701,2.845,-2.803,-1.992,-4.998,2.61,3.253,3.426,-0.675,-4.19,4.329,3766.39,0
166332,-4.586,2.55,-1.021,1.078,-2.676,-2.775,-1.381,2.098,1.601,3.753,3658.19,0
64367,3.329,0.564,1.403,1.501,-2.386,-2.585,2.724,4.497,0.464,-1.794,3354.83,0
147868,4.239,3.107,4.497,1.599,-2.779,-4.335,4.923,4.731,-2.789,4.996,2758.29,0
40849,3.793,-4.533,-4.931,-0.354,-1.965,-4.573,1.656,-2.452,-3.786,4.203,1988.66,0
36742,0.74,0.131,-3.293,-0.521,-2.003,-2.089,3.149,-2.133,-0.864,3.812,4847.62,1
20494,1.072,-0.585,4.821,0.387,2.502,1.165,1.823,1.678,3.906,1.351,4177.54,0
118859,4.381,-4.277,-2.249,4.024,-0.3,2.556,2.44,-2.644,-4.579,-1.722,2539.19,0
153682,-2.716,-3.757,3.939,3.4,-2.855,-0.037,-4.115,2.619,1.65,-1.316,2459.76,0
123232,-1.834,-2.406,3.315,-0.245,-3.829,-0.973,0.91,-1.761,-4.836,0.851,1736.75,0
95025,1.059,0.68,3.623,3.121,-0.052,2.371,-4.186,1.198,-3.151,-4.783,1633.06,0
87814,4.74,1.365,4.44,3.793,4.239,-4.507,3.525,-1.985,-1.812,2.451,2032.49,0
16310,-3.259,4.339,1.6,-2.732,1.545,0.88,-1.088,2.994,-3.666,-1.358,78.86,0
99224,4.131,-0.61,-4.938,-2.892,1.951,-0.233,-4.151,-1.032,2.047,0.792,1519.97,0
102983,-4.935,-1.551,2.102,2.186,2.357,-0.308,-0.656,4.095,3.883,3.022,3683.84,0
71659,-1.955,-2.905,1.422,3.227,-3.602,-4.748,-3.51,4.044,1.436,1.11,3241.63,0
105157,-0.017,2.618,2.131,4.193,-4.283,1.404,1.442,1.484,0.024,-1.438,1469.09,0
80237,2.417,1.148,2.441,-2.435,3.165,-1.219,-4.862,0.013,-0.723,0.947,3773.28,0
89444,-3.869,-0.193,1.92,-3.768,-0.2,-1.214,2.548,4.128,-1.557,3.714,1873.09,0
132019,-0.349,-2.448,3.618,0.283,1.789,4.544,0.069,2.182,3.895,4.444,4969.54,0
16914,-3.097,-0.473,-2.167,3.553,-3.711,2.53,3.017,-2.711,-4.432,2.727,840.53,0
47865,3.004,4.202,-2.984,-4.902,-3.848,-0.473,-3.394,-4.873,-1.2,1.927,1801.48,0
91448,-3.631,-0.066,2.997,0.807,-3.302,-1.819,-3.838,-3.484,-2.544,-0.592,2272.42,0
40477,0.938,4.754,0.19,2.014,-0.044,0.043,0.37,-0.426,1.879,0.639,3830.3,0
77564,0.112,-0.425,-3.853,-4.172,4.594,3.166,-4.931,1.808,0.349,-3.496,1917.8,0
166116,-0.38,-4.261,-1.103,-0.652,-0.685,0.891,2.37,-3.855,-2.931,2.074,2332.4,0
7492,1.648,-2.134,4.405,3.098,4.759,-1.049,1.347,4.98,-3.335,-4.774,1068.77,0
532,-4.661,3.633,-3.427,-0.868,3.337,-3.159,0.057,2.445,-2.524,4.468,1781.92,1
148784,1.425,-1.905,-2.336,-4.421,-1.612,0.702,4.98,3.351,-3.771,2.396,3297.3,0
157436,-4.47,-2.718,-3.724,3.315,-4.022,2.396,4.516,1.571,2.644,-3.73,3169.95,0
63715,0.123,4.111,2.604,-4.181,-4.109,-2.287,-3.073,1.632,3.781,4.495,3003.37,0
72172,-3.469,-4.604,1.056,2.758,3.7,3.616,0.404,-3.178,1.854,-4.578,2164.31,0
123877,-3.404,-4.406,4.477,-2.94,-1.583,-4.527,1.973,0.255,-3.468,0.523,4223.08,0
148195,-4.211,0.799,-1.344,2.684,-4.019,3.183,-3.232,1.774,0.969,-3.281,3569.44,0
107771,1.51,2.236,-3.373,3.522,0.619,-2.694,-2.432,4.122,-1.399,-3.957,?,0
22457,-4.113,1.49,0.942,-1.983,1.996,-3.046,2.183,3.588,4.511,-4.221,2552.07,0
34516,-1.805,-0.651,-2.755,-2.907,2.208,2.155,1.317,2.552,-0.342,3.009,3477.87,0
54142,0.423,-1.176,3.206,-1.154,-2.827,-4.973,-3.37,-0.709,3.735,2.32,2182.13,0
156366,-2.308,4.098,4.995,4.544,3.966,-3.144,-2.79,-0.156,-1.944,4.142,1021.61,0
107673,1.423,-2.715,3.582,4.373,3.806,3.31,1.254,-3.973,1.617,-3.678,4356.79,0
92097,-3.486,-1.778,3.709,2.146,4.202,-0.935,-1.824,3.558,-2.155,-3.161,623.71,0
166822,-2.886,-4.921,-0.532,4.139,0.505,4.959,-4.393,-0.648,1.12,0.588,2877.46,0
132872,-1.584,error,3.043,2.551,0.754,-2.88,2.228,3.101,1.299,-3.242,3118.83,0
119573,2.63,-2.292,-1.268,-1.206,-3.15,-4.746,3.215,2.433,4.699,3.068,2361.74,0
17761,2.57,3.109,-4.651,-0.362,1.466,-4.469,-0.93,-3.467,0.252,3.669,1022.42,0
111077,3.341,-3.264,2.796,-3.058,1.583,4.809,1.35,-1.989,-3.531,-3.142,3253.09,0
104885,-3.871,2.748,4.751,4.184,1.86,2.955,-2.301,-2.262,4.447,1.735,2936.72,0
29176,-0.762,-1.282,3.978,4.273,-4.792,2.44,-2.254,3.128,-3.923,-1.445,3714.55,0
166509,-0.621,-0.846,-2.148,-3.043,-3.441,3.37,-2.834,-0.005,-1.345,1.194,731.13,0
152773,-4.797,3.322,-3.097,3.347,2.517,-0.175,-0.393,-1.531,0.899,-2.815,1956.87,0
157496,-2.053,4.751,3.628,-1.157,3.219,-1.383,-2.545,-0.665,-0.473,-2.465,270.28,0
98560,3.655,-2.253,0.636,2.775,1.037,-4.542,0.366,2.642,-3.286,-1.291,4820.16,0
100643,-1.849,1.874,1.925,2.637,3.476,2.195,0.978,-3.781,1.568,1.852,3288.17,0
70972,-4.711,-3.608,-4.31,3.132,3.982,-1.321,4.048,-0.827,3.654,4.112,1635.8,0
4803,0.021,1.174,0.652,-2.003,3.622,-3.933,-1.014,-1.175,-3.694,-1.556,4643.8,0
17763,-3.568,1.108,4.906,3.358,4.346,-2.16,-3.479,4.339,1.467,0.407,426.45,0
34851,1.062,-3.962,3.649,2.636,-1.453,3.69,0.373,4.078,3.007,3.636,915.01,0
133855,0.471,4.79,4.546,0.808,1.124,-1.106,-3.155,1.183,-0.32,-0.049,4033.95,0
54368,2.515,3.599,3.975,1.764,0.516,2.716,0.425,-0.817,1.027,3.118,1091.47,0
48649,-4.18,3.866,3.318,-0.754,-4.573,-4.325,2.887,-0.972,1.609,-1.628,2049,0
8639,3.049,-2.264,2.752,0.867,3.601,2.075,4.001,2.646,-2.597,4.886,2474.82,0
17746,-2.257,-3.215,2.307,4.556,-2.539,-4.335,1.022,4.444,1.647,4.716,4036.91,0
126954,1.803,-3.621,1.192,-0.344,-0.406,0.602,3.881,4.404,-2.562,-3.498,4864.74,0
46639,-1.799,-1.405,2.378,-4.586,3.611,3.475,-3.036,-0.431,-0.775,4.168,1927.91,0
124095,-4.747,-3.871,-1.163,-4.974,-1.136,-3.066,-3.315,0.849,1.439,3.225,1875.77,0
35586,-3.446,-0.59,2.427,-2.688,4.539,-4.058,3.198,3.516,2.702,4.904,2300.1,0
145728,-4.086,4.87,2.543,-2.48,3.589,1.097,-1.17,-0.845,-1.314,-0.714,2534.47,0
104297,-0.269,-3.913,-3.253,-2.598,-0.406,-0.496,-1.752,-0.785,-4.142,2.982,1569.81,0
157435,1.638,-1.789,2.786,4.117,-4.47,2.448,-1.372,-3.823,-2.892,0.751,1880.81,0
22751,4.778,1.987,-1.039,2.828,-4.922,-1.858,2.623,-1.692,-2.01,-0.733,3643.36,0
171444,1.369,0.698,3.368,0.112,4.254,-4.728,-3.087,1.234,-1.024,1.566,2795.72,0
30342,,-0.985,0.615,-0.401,-4.579,-4.564,4.295,1.733,4.073,2.232,134.63,0
164005,3.488,-4.833,1.549,-0.42,-4.838,-0.837,0.922,-2.046,3.188,1.423,46.16,0
131019,3.107,0.339,-2.068,1.504,2.615,-0.866,-2.899,-3.946,-4.884,-4.368,2251.79,0
142425,3.519,-4.948,1.723,-1.209,-3.529,2.436,-0.109,3.002,0.666,-0.344,509.8,0
46786,-0.524,-3.811,-4.502,1.504,2.693,2.689,-1.487,3.376,0.33,-2.108,2617.19,0
140027,-0.588,-4.997,-1.886,-3.695,-0.647,-0.422,0.764,-0.152,-4.224,-0.042,2202.5,0
172560,0.238,-4.989,4.558,1.923,3.819,-2.514,-0.481,1.838,-4.779,4.619,654.73,0
15799,-2.245,-2.749,4.567,1.504,0.227,4.215,-1.481,-3.222,-4.248,-3.387,4772.63,0
108065,-4.877,2.599,2.189,-0.73,4.076,-4.076,-2.853,-3.243,-2.228,3.322,2225.79,0
93272,4.854,3.403,4.261,-0.953,-1.883,-0.898,4.186,0.106,3.219,-2.659,2661.96,0
118436,-1.991,-1.492,-1.279,-4.752,-1.631,-3.534,0.578,0.208,2.482,-4.805,1555.6,0
48419,1.194,-0.498,-4.684,1.127,2.097,3.41,-2.631,4.468,4.216,-2.141,2724.18,0
16078,-1.007,4.617,1.205,-2.155,-2.81,-1.01,-1.571,3.744,0.265,-2.563,2960.73,0
130148,-3.264,-4.005,3.056,-4.395,1.961,3.083,-2.705,-1.821,-2.713,2.537,3769.68,0
83280,-2.818,1.432,3.95,-3.714,-2.759,0.2,0.525,-4.024,1.685,2.712,1180.92,0
15214,-1.281,-3.686,4.993,-1.192,0.526,0.235,-2.359,2.67,-2.164,-0.676,3796.78,0
88622,-2.085,2.641,-1.844,2.961,0.305,-3.889,1.479,1.385,-2.808,1.613,?,0
20559,4.142,2.748,-4.214,-3.888,1.209,-3.93,1.459,-4.725,-4.311,-0.013,2452.63,0
47172,-2.17,2.964,1.628,4.999,-0.076,-1.994,-3.93,4.518,-3.504,-0.865,2083.31,0
57261,4.438,2.742,4.142,4.213,-2.134,-2.668,4.477,2.582,4.31,2.835,3527.93,0
65756,1.496,-4.868,2.786,1.285,-2.968,3.386,1.783,-2.33,4.774,-4.704,733.94,0
166997,-1.734,1,-3.462,-1.149,-2.617,1.16,-3.486,-1.843,-1.729,1.993,4146.66,0
136224,3.914,1.678,-1.183,2.575,2.888,-2.215,-4.522,2.271,-3.093,-4.431,1053.09,0
58553,-0.512,1.994,-3.933,-3.592,3.501,2.702,1.534,1.985,4.107,-3.027,318.33,0
9789,-4.193,1.805,1.44,-4.94,-4.12,-4.979,-2.462,-3.743,1.91,0.975,408.46,0
24069,1.228,3.774,-1.948,-1.545,4.977,3.029,-1.012,-0.958,-2.287,-3.638,2188.59,0
141907,-0.108,-4.661,3.035,-0.383,-4.159,-1.599,-0.139,1.876,4.403,-2.888,3432.58,0
128403,0.135,3.142,1.388,-3.305,-4.942,0.053,-3.376,3.941,-3.644,-2.053,3027.27,0
91368,4.113,-1.618,1.435,3.799,4.569,2.771,-1.033,-3.67,-0.678,-3.748,388.51,0
15508,-2.345,-2.823,-4.065,2.716,-2.328,-1.855,1.651,4.883,-1.77,-4.641,4347.8,0
102045,-3.478,-3.187,-4.548,-0.742,4.138,-1.551,-2.026,-2.75,-0.549,0.711,2881.47,0
146078,-1.452,-0.665,-0.841,-3.026,1.152,0.652,4.221,1.645,-4.06,1.718,2360.8,1
158712,-3.179,-1.359,2.207,0.66,-0.893,-4.21,0.333,2.119,-4.483,0.769,3357.36,0
90555,-0.551,1.336,1.342,-3.22,-0.788,-0.078,-1.065,-4.198,4.67,-0.016,3679.32,0
46606,1.873,-0.647,2.525,1.368,2.771,0.386,-1.893,-0.322,-1.713,0.377,1210.16,0
81750,-2.456,-1.659,4.055,-1.438,2.267,-1.984,0.658,-1.467,4.187,-0.136,3761.32,0
102483,-0.797,1.521,4.068,-0.259,1.174,3.689,-0.255,-4.587,-2.543,4.629,3913.48,0
166456,-4.078,-4.209,1.338,-0.782,-0.701,-3.514,-4.569,3.725,-3.57,3.455,737.78,0
155492,3.327,3.22,2.563,-0.995,-3.649,4.451,-0.74,-4.64,3.768,4.895,4687.17,0
102065,-3.347,0,-1.665,2.896,4.995,-2.173,4.864,-1.451,-4.438,3.312,4547.1,0
164636,-1.575,0.537,0.709,-2.393,-0.129,-2.76,-0.089,-2.515,-1.009,-4.419,3535.66,0
156224,-4.432,1.544,0.062,4.147,-2.593,1.188,0.534,-0.366,-2.109,-2.911,3360.02,0
15360,3.81,-3.888,-4.931,-4.26,-2.153,-4.989,2.978,-3.987,1.926,-1.691,?,0
70929,-1.435,-2.027,-2.339,4.484,-4.263,0.744,-1.834,0.639,-4.052,0.107,?,0
103926,,0.533,2.488,-0.207,4.101,-0.086,-3.237,0.992,1.796,-3.368,540.66,0
56568,2.605,3.003,1.951,-0.943,-1.643,3.058,2.715,-3.486,-1.239,3.913,559.35,1
22681,1.459,1.222,-3.769,1.626,-3.19,4.331,1.738,-1.53,4.012,4.887,2248.34,0
117720,4.305,3.774,-2.528,4.994,3.842,0.32,-0.019,-1.28,-0.531,-3.433,1122.62,0
115940,2.395,1.863,4.707,1.942,0.445,3.749,1.641,-0.036,3.85,3.183,1083.5,0
31831,4.061,-1.075,4.894,-3.17,2.127,1.833,-2.158,-4.679,-4.115,-2.208,4622.94,0
122896,-3.582,3.369,-1.633,-4.666,3.396,1.644,0.988,4.223,3.97,1.991,3008.32,0
160765,3.418,-2.367,0.414,4.636,0.178,1.102,1.82,4.954,2.479,4.781,3503.31,0
52825,2.589,-4.697,-1.015,2.37,1.383,0.498,1.235,-4.334,0.869,0.112,?,0
96415,-1.656,-4.797,2.451,2.368,0.075,-4.027,-0.805,1.827,-3.516,3.077,3999.51,0
41341,2.635,3.325,4.259,-1.543,3.843,-4.742,-3.656,3.532,0.023,2.891,3888.26,0
134820,-4.303,-0.144,-3.204,2.583,2.98,4.575,3.85,3.501,-1.556,0.251,2305.14,0
91488,4.393,-2.209,-1.496,-4.426,0.5,-4.743,-1.782,1.037,1.889,-1.266,1518.64,0
72037,-2.179,4.982,-2.385,-1.213,2.477,-1.495,1.785,-0.424,-3.844,0.96,2503.87,0
147740,1.6,2.557,2.151,3.711,-2.417,1.252,-1.278,0.618,4.468,-2.452,3608.7,0
137354,-1.197,-0.806,4.983,3.982,-1.641,4.364,-4.244,4.689,-2.83,-2.32,1231.92,0
66927,0.124,-4.335,4.679,-2.354,-1.396,1.254,0.066,-3.109,-2.486,3.772,4240.46,0
51718,0.011,2.24,-3.167,2.208,-1.045,4.386,-0.404,-3.027,2.756,-4.727,2268.04,0
56970,4.247,4.095,-4.116,-1.212,-0.216,0.114,4.809,-0.579,-4.913,3.8,3154.95,0
163695,-0.165,2.821,-3.295,-3.443,0.532,2.512,3.038,-2.65,1.438,3.2,4310.35,0
88968,-2.555,-0.883,2.879,0.19,-1.569,-4.794,1.116,2.133,2.828,-0.698,3555.14,0
106518,3.765,-3.409,3.746,2.112,1.004,4.34,-1.954,-4.515,4.114,-4.6,4016.04,0
1839,3.446,3.757,0.278,1.038,-0.826,-3.692,0.493,-1.699,-1.548,1.862,4256.5,0
165389,3.714,2.358,1.804,-3.442,1.73,-0.725,4.549,0.698,4.667,-4.444,3912.25,0
148625,-0.926,3.594,1.151,2.239,-1.013,-1.047,-2.812,0.444,2.137,2.512,1859.7,0
144044,1.86,-3.792,-0.627,2.801,-1.874,2.826,-3.427,-3.312,1.913,-2.128,2154.48,0
81731,-3.48,-1.504,-2.185,0.216,2.487,4.958,-1.086,-1.368,-1.642,3.821,2126.55,0
68071,2.906,-4.677,4.929,1.468,-1.932,-3.113,-3.109,2.836,-1.175,-1.879,3306.29,0
41434,-3.284,0.533,-1.258,-3.094,-2.317,2.415,-0.741,0.404,2.757,-1.498,4352.01,0
53138,4.035,-1.129,1.648,-4.274,-3.289,3.974,-0.778,-2.467,-0.39,0.347,2581.54,0
105163,0.099,4.037,4.138,0.928,3.04,-0.553,1.876,0.776,1.212,2.863,4238.54,0
373,-0.222,-1.137,4.597,-3.891,1.074,3.045,0.58,1.01,2.419,-0.414,3925.66,0
4792,0.466,-4.398,-1.35,-3.862,1.777,2.616,3.436,1.972,-0.971,0.986,2645.11,0
22050,-2.853,-4.465,4.556,0.891,-1.492,0.48,-1.766,4.788,-1.232,-3.447,2062.18,0
121565,3.928,2.142,-2.694,1.386,-4.165,-1.367,0.013,-0.388,-3.724,-4.952,376.35,0
